State,Bill Number,CCNegative,NegorPos,# of Sponsors,% Republican Party,PartyScore,Committee Intro,YearIntro,Date Introduced,Bill Title,Disposition,Date of Furthest Progression,"Progress (1, 2, 2, 3)",Open States Link,Negative,Adoption or Enabling,Alignment,Appropriation,Legislative Approbation,Legislative Disapprobation,Review,Revocation,Other,A: Accountability Systems,A: Assessment,A: Charter and Private Schools,A: Career Technical Education,A: College- and Career-Readiness,A: Curriculum (Instructional Materials),A: Early Childhood Education,A: Educ Evaluations,A: Educ Prep Program,A: Educ Prof Development,A: English Language Learners,A: Higher Education,A: HS Grad Requirements,A: Innovation Zones,A: Instruction,A: Juvenile Court Schools,A: K-3 Reading Proficiency,A: Online Course Offerings,A: School Accreditation / Performance Rating System,A: Students w/ Cognitive Disabilities,A: Supplemental Educational Services,A: Technological Infrastructure,,,,,
Illinois,IL S 3932,1,Negative,1,1,1,,2012,11/14/12,Project Labor Agreements Act,Failed,,1,http://openstates.org/il/bills/97th/SB3932/,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,IN S 0193,1,Negative,6,0.16667,-0.66666,,2013,1/7/13,Common Core State Educational Standards,Failed (Adjourned) ,2/21/13,2,http://openstates.org/in/bills/2013/SB193/,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX H 0462,1,Negative,8,1,1,,2013,1/10/13,State Control of Teacher Appraisal Criteria Curriculum,Enacted,6/14/13,3,http://openstates.org/tx/bills/83/HB462/,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,IN S 0493,1,Negative,4,1,1,,2013,1/14/13,Achievement Test Grant,Failed (Adjourned),2/26/13,2,http://openstates.org/in/bills/2013/SB493/,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,AZ H 2318,1,Negative,1,1,1,,2013,1/17/13,Schools Federal Funding,Failed (Adjourned),4/4/13,2,http://openstates.org/az/bills/51st-1st-regular/HB2318/,1,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,FL H 0377,1,Negative,1,0,-1,,2013,1/22/13,Common Core State Standards,Failed (Adjourned),,1,http://openstates.org/fl/bills/2013/H377/,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,IN H 1427,1,Negative,2,1,1,,2013,1/22/13,Various Education Matters,Enacted,5/11/13,3,http://openstates.org/in/bills/2013/HB1427/,1,,1,,,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Indiana,IN H 1284,1,Negative,2,0.5,0,,2013,1/23/13,Common Core State Educational Standards,Failed (Adjourned),,1,http://openstates.org/in/bills/2013/HB1284/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,MO S 0210,1,Negative,2,1,1,,2013,1/24/13,Common Core State Standards,Failed (Adjourned),5/17/13,2,http://openstates.org/mo/bills/2013/SB210/,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,SD H 1203,1,Negative,27,0.81481,0.62962,,2013,1/28/13,Nonpublic Schools State Accreditation,Failed (Adjourned),,1,http://openstates.org/sd/bills/2013/HB1203/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,SD H 1204,1,Negative,20,1,1,,2013,1/28/13,Board of Education Common Core Standards Approval,Failed (Adjourned),2/20/13,2,http://openstates.org/sd/bills/2013/HB1204/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,FL S 0524,1,Negative,1,0,-1,,2013,1/29/13,Common Core State Standards,Failed (Adjourned),,1,http://openstates.org/fl/bills/2013/S524/,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,SC S 0300,1,Negative,10,1,1,,2013,1/29/13,Education General Provisions,Pending,,1,http://openstates.org/sc/bills/2013-2014/S300/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,OK S 314,1,Negative,1,1,1,,2013,2/4/13,Schools,Pending (Carryover),,1,http://openstates.org/ok/bills/2013-2014/SB314/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,KS H 2289,1,Negative,19,0.73684,0.47368,1,2013,2/11/13,Common Core Standards,Pending,,1,http://openstates.org/ks/bills/2013-2014/HB2289/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,AL H 0254,1,Negative,4,1,1,,2013,2/12/13,Education and Core Curriculum Standards,Failed (Adjourned),,1,http://openstates.org/al/bills/2013rs/HB254/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,AL S 0190,1,Negative,15,1,1,,2013,2/12/13,Education and Core Curriculum Standards,Failed (Adjourned),,1,http://openstates.org/al/bills/2013rs/SB190/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,MI S 0196,1,Negative,1,1,1,,2013,2/13/13,Education Budget,Pending,5/15/13,2,http://openstates.org/mi/bills/2013-2014/SB196/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GA S 0167,1,Negative,13,1,1,,2013,2/14/13,Adoption Curricula,Failed (Adjourned),2/25/13,2,http://openstates.org/ga/bills/2013_14/SB167/,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
