State,Bill Number,CCNegative,NegorPos,# of Sponsors,% Republican Party,PartyScore,Committee Intro,YearIntro,Date Introduced,Bill Title,Disposition,Date of Furthest Progression,"Progress (1, 2, 2, 3)",Open States Link,Negative,Adoption or Enabling,Alignment,Appropriation,Legislative Approbation,Legislative Disapprobation,Review,Revocation,Other,A: Accountability Systems,A: Assessment,A: Charter and Private Schools,A: Career Technical Education,A: College- and Career-Readiness,A: Curriculum (Instructional Materials),A: Early Childhood Education,A: Educ Evaluations,A: Educ Prep Program,A: Educ Prof Development,A: English Language Learners,A: Higher Education,A: HS Grad Requirements,A: Innovation Zones,A: Instruction,A: Juvenile Court Schools,A: K-3 Reading Proficiency,A: Online Course Offerings,A: School Accreditation / Performance Rating System,A: Students w/ Cognitive Disabilities,A: Supplemental Educational Services,A: Technological Infrastructure,,,,,
Missouri,MO H 0002,1,Negative,1,1,1,,2013,2/14/13,State Board of Education and Department of Elementary and Secondary Education Appropriation Bill,Enacted,6/28/13,3,http://openstates.org/mo/bills/2013/HB2/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,MO H 0003,1,Negative,1,1,1,,2013,2/14/13,Department of Higher Education Appropriation Bill,Enacted,6/28/13,3,http://openstates.org/mo/bills/2013/HB3/,1,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Missouri,MO H 0616,1,Negative,2,1,1,,2013,2/14/13,State Board of Education,Failed (Adjourned),,1,http://openstates.org/mo/bills/2013/HB616/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,IL S 2156,1,Negative,1,0,-1,,2013,2/15/13,School Code,Pending,,1,http://openstates.org/il/bills/98th/SB2156/,1,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,MI H 4276,1,Negative,5,1,1,,2013,2/19/13,Common Core Standards,Pending,,1,http://openstates.org/mi/bills/2013-2014/HB4276/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GA S 0203,1,Negative,12,1,1,,2013,2/22/13,Review of Competencies and Core Curriculum,Failed (Adjourned),,1,http://openstates.org/ga/bills/2013_14/SB203/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,KS H 2391,1,Negative,11,0.81818,0.63836,1,2013,3/7/13,Ancillary School Facilities Financing,Pending (Substituted),6/1/13,2,http://openstates.org/ks/bills/2013-2014/HB2391/,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,OK HR 1011,1,Negative,1,1,1,,2013,3/27/13,Common Core State Standards,Enacted,5/24/13,3,http://openstates.org/ok/bills/2013-2014/HR1011/,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,AL H 0565,1,Negative,3,1,1,,2013,4/4/13,Curriculum Standards,Failed (Adjourned),,1,http://openstates.org/al/bills/2013rs/HB565/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,AL S 0403,1,Negative,4,1,1,,2013,4/4/13,Education and Core Curriculum Standards,Failed (Adjourned),,1,http://openstates.org/al/bills/2013rs/SB403/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,AL S 0404,1,Negative,3,1,1,,2013,4/4/13,Education and Core Curriculum Standards,Failed (Adjourned),,1,http://openstates.org/al/bills/2013rs/SB404/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,SC H 3893,1,Negative,13,1,1,,2013,4/9/13,Statewide Education Standards and Assessment,Pending,,1,http://openstates.org/sc/bills/2013-2014/H3893/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,NC H 0733,1,Negative,20,1,1,,2013,4/10/13,Common Core State Standards Study Committee,Pending,,1,http://openstates.org/nc/bills/2013/HB733/,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,NC H 0749,1,Negative,7,0.71429,0.42858,,2013,4/10/13,Local School Flexibility,Pending,,1,http://openstates.org/nc/bills/2013/HB749/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,NC H 0775,1,Negative,8,0.125,-0.75,,2013,4/10/13,Moratorium on High-Stakes Testing,Pending,,1,http://openstates.org/nc/bills/2013/HB775/,1,,1,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,SC H 3943,1,Negative,15,1,1,,2013,4/11/13,State Board of Education,Pending,,1,http://openstates.org/sc/bills/2013-2014/H3943/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,NC H 0960,1,Negative,3,1,1,,2013,4/17/13,Innovation Through Local Schools,Pending,,1,http://openstates.org/nc/bills/2013/HB960/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,AL HJR 0377,1,Negative,1,0,-1,,2013,4/30/13,Legislative Resolution,Failed (Adjourned),,1,http://openstates.org/al/bills/2013rs/HJR377/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
